Prefixo,Nexthop,as-path,Origem Prefixo
112.213.115.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
125.254.168.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
117.121.56.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '56048', '4847'])"
195.191.92.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['25504', '57115'])"
66.146.16.0/20,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['11123', '11841'])"
123.51.18.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45510', '38333'])"
2a01:8840:e9::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['207266', '12041'])"
141.193.177.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64513', '53292'])"
203.21.194.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9942', '1221'])"
202.168.77.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65435', '45410'])"
154.89.4.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
212.80.172.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
154.19.189.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['142020', '174'])"
24.112.64.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
129.134.160.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['63293', '32934'])"
117.50.192.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
2001:559:25e::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
128.14.10.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['21859', '62610'])"
35.210.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['15169', '19527'])"
81.171.63.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33438', '12989'])"
170.34.100.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65111', '32787'])"
202.91.38.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
198.90.72.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['22787', '18816'])"
125.208.46.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['24406', '24151'])"
2001:559:c359::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
185.160.37.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['57531', '208720'])"
156.154.124.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397241', '397231'])"
103.184.224.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6315', '400171'])"
170.48.0.0/18,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['11406', '13348'])"
2403:41c0:f000::/36,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['63969', '58715'])"
156.154.102.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397241', '397215'])"
162.18.79.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17025', '10753'])"
46.238.0.0/18,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['35141', '8717'])"
66.115.115.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
194.42.221.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['25215', '65224'])"
159.127.107.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['399104', '25751', '26762', '41041'])"
64.34.240.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['35947', '577'])"
2804:5d0::/32,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['28241', '28258'])"
45.158.10.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['213186', '834'])"
67.202.191.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
2605:72c0:100::/40,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['32354', '4200000001'])"
191.101.151.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['60458', '61317'])"
2405:1c0:6212::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
103.174.205.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55714', '147313'])"
216.151.46.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['21881', '7029'])"
190.61.7.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18747', '7087'])"
192.42.175.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396574', '396540', '396568', '396579', '397206', '396559'])"
134.119.68.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
93.180.152.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
2607:fb10:50a3::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55095', '2906'])"
102.218.39.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['15399', '37027'])"
216.250.107.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '132813'])"
80.247.145.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64513', '12684'])"
2610:a1:1017::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397228', '397231'])"
24.112.36.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
2405:1c0:6a12::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
154.3.36.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['54574', '906'])"
168.252.120.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['7474', '15412'])"
208.111.184.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['23059', '22822', '26506'])"
2a01:8840:d1::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['207266', '12041'])"
187.252.6.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['28545', '64713'])"
203.247.95.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['23575', '1237'])"
162.18.78.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17025', '10753'])"
45.249.215.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['134543', '63655'])"
202.202.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4538', '24356'])"
208.114.84.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
